id,giver_id,receiver_id,given_at,week_number,year,month,created_at
000b6c9c-8302-4cc6-b7c0-1177ff3b6cfa,03a2e16d-3f83-40f2-ac7a-448cac0e34f9,20a53315-0f65-445e-a2ec-c975192489ab,2024-11-25 00:00:00+00,48,2025,8,2025-08-28 15:06:57.367351+00
0028c50a-cbeb-4a00-b8e6-aa6b5bcaeb6f,aa672f22-7c0c-416a-8b6f-39bc778ebcea,03a2e16d-3f83-40f2-ac7a-448cac0e34f9,2025-02-10 00:00:00+00,7,2025,8,2025-08-28 15:15:06.140053+00
0077ad2b-714f-49d4-9968-272872013e42,1cb30beb-bd3e-4ab5-8842-83aec3e64fc4,d22c96f8-d4c3-42d3-9368-925fec3016c9,2025-03-10 00:00:00+00,11,2025,8,2025-08-28 15:15:06.140053+00
0082ccc0-cc27-4d30-ab49-02b4d70c1c47,3eea9883-b781-464b-8923-f0a015bb02c1,46bdfdf9-b7e1-4b19-94e3-ffab53b8db4b,2024-05-20 00:00:00+00,21,2025,8,2025-08-28 15:06:57.367351+00
00ce19fd-f998-484f-8689-7888d06539fb,20a53315-0f65-445e-a2ec-c975192489ab,d22c96f8-d4c3-42d3-9368-925fec3016c9,2024-04-08 00:00:00+00,15,2025,8,2025-08-28 15:06:57.367351+00
00e1caed-6a56-44c9-87a6-0cc92869f4ce,d22c96f8-d4c3-42d3-9368-925fec3016c9,e13ea3af-2bd8-403b-bbf9-ebd38f780f81,2024-10-07 00:00:00+00,41,2025,8,2025-08-28 15:06:57.367351+00
013dd2ca-6d4b-45b3-a5a3-61a7b8354703,de74222e-285a-4629-a2a0-2ad9e65f78a2,de74222e-285a-4629-a2a0-2ad9e65f78a2,2025-07-28 00:00:00+00,31,2025,8,2025-08-28 15:15:06.140053+00
0154ef2d-4db3-4049-b78e-6a5ab4d04a0f,b2023247-4516-4641-9d9d-641dcc9ca452,20a53315-0f65-445e-a2ec-c975192489ab,2024-06-17 00:00:00+00,25,2025,8,2025-08-28 15:06:57.367351+00
015e21ec-3a77-412d-aa4e-94fb01999a8f,b2023247-4516-4641-9d9d-641dcc9ca452,1cb30beb-bd3e-4ab5-8842-83aec3e64fc4,2024-05-13 00:00:00+00,20,2025,8,2025-08-28 15:06:57.367351+00
0167bfc5-6658-4a94-b845-2e10fad6059e,e13ea3af-2bd8-403b-bbf9-ebd38f780f81,20a53315-0f65-445e-a2ec-c975192489ab,2025-04-28 00:00:00+00,18,2025,8,2025-08-28 15:15:06.140053+00
0293337e-49c2-4ac6-8f6d-93a23890be82,c3fc4be4-64e9-4a87-a828-1721cd5aa008,20a53315-0f65-445e-a2ec-c975192489ab,2025-06-16 00:00:00+00,25,2025,8,2025-08-28 15:15:06.140053+00
02a1998e-7369-4bd9-a59f-d03d64b7e4f8,1fb1f39a-ef03-4cc0-aa7c-ff6d1d214250,3eea9883-b781-464b-8923-f0a015bb02c1,2024-08-05 00:00:00+00,32,2025,8,2025-08-28 15:06:57.367351+00
02e94e4f-b9a9-4e55-8375-418b5172d448,651dad5e-7cbd-4954-b62a-155b5858903f,03a2e16d-3f83-40f2-ac7a-448cac0e34f9,2025-03-03 00:00:00+00,10,2025,8,2025-08-28 15:15:06.140053+00
02ea8c47-451e-4a15-a0d8-900baeaf7e4a,03a2e16d-3f83-40f2-ac7a-448cac0e34f9,1cb30beb-bd3e-4ab5-8842-83aec3e64fc4,2025-05-19 00:00:00+00,21,2025,8,2025-08-28 15:15:06.140053+00
036646cf-3285-4aa7-8b74-34ec64a32518,e13ea3af-2bd8-403b-bbf9-ebd38f780f81,1cb30beb-bd3e-4ab5-8842-83aec3e64fc4,2025-01-20 00:00:00+00,4,2025,8,2025-08-28 15:15:06.140053+00
03b3d586-185a-4449-abac-38cc3c26022f,c3fc4be4-64e9-4a87-a828-1721cd5aa008,651dad5e-7cbd-4954-b62a-155b5858903f,2024-10-07 00:00:00+00,41,2025,8,2025-08-28 15:06:57.367351+00
03e0ed8d-466d-47c4-87e2-1c4ef0d5e4f3,c3fc4be4-64e9-4a87-a828-1721cd5aa008,d22c96f8-d4c3-42d3-9368-925fec3016c9,2024-04-08 00:00:00+00,15,2025,8,2025-08-28 15:06:57.367351+00
04a1db12-747a-4e96-a5c1-c81c4bc817ba,b977a872-cdb3-4a04-badb-91042681b7fd,3eea9883-b781-464b-8923-f0a015bb02c1,2024-11-04 00:00:00+00,45,2025,8,2025-08-28 15:06:57.367351+00
04b22ce3-2f28-483c-82f2-72a6a1004e00,929c2a1c-5395-4d65-8457-62ddc08ae3e7,a4142510-818a-451e-aa40-19f5a26314a8,2024-06-03 00:00:00+00,23,2025,8,2025-08-28 15:06:57.367351+00
04ca2144-459e-4ed6-96e0-de452538e0a8,46bdfdf9-b7e1-4b19-94e3-ffab53b8db4b,c3fc4be4-64e9-4a87-a828-1721cd5aa008,2024-01-15 00:00:00+00,3,2025,8,2025-08-28 15:06:57.367351+00
04ff0610-fdaf-4643-ba98-c13c70946084,aa672f22-7c0c-416a-8b6f-39bc778ebcea,d22c96f8-d4c3-42d3-9368-925fec3016c9,2024-04-08 00:00:00+00,15,2025,8,2025-08-28 15:06:57.367351+00
05050718-dee3-4a86-bc7e-9b619d9c0252,c3fc4be4-64e9-4a87-a828-1721cd5aa008,03a2e16d-3f83-40f2-ac7a-448cac0e34f9,2025-07-14 00:00:00+00,29,2025,8,2025-08-28 15:15:06.140053+00
05898c88-09c0-430f-9742-3a6f86aefc1d,a4142510-818a-451e-aa40-19f5a26314a8,d22c96f8-d4c3-42d3-9368-925fec3016c9,2025-02-03 00:00:00+00,6,2025,8,2025-08-28 15:15:06.140053+00
05978ace-3f9e-4749-ab95-afee189a9ff5,aa672f22-7c0c-416a-8b6f-39bc778ebcea,b977a872-cdb3-4a04-badb-91042681b7fd,2024-12-23 00:00:00+00,52,2025,8,2025-08-28 15:06:57.367351+00
05a70c7a-834d-485c-a428-558fe8395fb1,b977a872-cdb3-4a04-badb-91042681b7fd,d6603b43-2fe2-4ce6-9117-60b50364f995,2024-11-25 00:00:00+00,48,2025,8,2025-08-28 15:06:57.367351+00
06269376-7cdc-4e89-99f5-4f94d969f357,b2023247-4516-4641-9d9d-641dcc9ca452,03a2e16d-3f83-40f2-ac7a-448cac0e34f9,2024-11-11 00:00:00+00,46,2025,8,2025-08-28 15:06:57.367351+00
062a0b42-15c8-437a-892d-0e4c07c5b056,b2023247-4516-4641-9d9d-641dcc9ca452,a4142510-818a-451e-aa40-19f5a26314a8,2025-07-07 00:00:00+00,28,2025,8,2025-08-28 15:15:06.140053+00
065acfae-9d33-470d-8e18-de5fe9564d1b,1cb30beb-bd3e-4ab5-8842-83aec3e64fc4,d6603b43-2fe2-4ce6-9117-60b50364f995,2024-10-28 00:00:00+00,44,2025,8,2025-08-28 15:06:57.367351+00
06654cde-b861-4a9b-93a4-4e4ecb768c4a,929c2a1c-5395-4d65-8457-62ddc08ae3e7,a4142510-818a-451e-aa40-19f5a26314a8,2024-02-12 00:00:00+00,7,2025,8,2025-08-28 15:06:57.367351+00
06678622-1f04-43b3-911b-550fc73e727f,c3fc4be4-64e9-4a87-a828-1721cd5aa008,de74222e-285a-4629-a2a0-2ad9e65f78a2,2024-05-27 00:00:00+00,22,2025,8,2025-08-28 15:06:57.367351+00
06763c93-b0e9-43c1-89ea-cdc2b7e5e9ee,3eea9883-b781-464b-8923-f0a015bb02c1,20a53315-0f65-445e-a2ec-c975192489ab,2024-12-23 00:00:00+00,52,2025,8,2025-08-28 15:06:57.367351+00
069425d5-dfe8-4f80-983a-53812db44158,aa672f22-7c0c-416a-8b6f-39bc778ebcea,e13ea3af-2bd8-403b-bbf9-ebd38f780f81,2024-05-06 00:00:00+00,19,2025,8,2025-08-28 15:06:57.367351+00
06f94b95-a064-459e-b65f-e3db2405b077,c3fc4be4-64e9-4a87-a828-1721cd5aa008,20a53315-0f65-445e-a2ec-c975192489ab,2024-11-11 00:00:00+00,46,2025,8,2025-08-28 15:06:57.367351+00
06fc54b1-7529-4988-882d-9d76b8e20bf1,b977a872-cdb3-4a04-badb-91042681b7fd,20a53315-0f65-445e-a2ec-c975192489ab,2025-02-24 00:00:00+00,9,2025,8,2025-08-28 15:15:06.140053+00
075ec9d2-585d-4f76-bf79-7f18661a2843,c3fc4be4-64e9-4a87-a828-1721cd5aa008,46bdfdf9-b7e1-4b19-94e3-ffab53b8db4b,2025-07-28 00:00:00+00,31,2025,8,2025-08-28 15:15:06.140053+00
07970a52-a736-4b58-b522-7fe9f9c6bdc4,de74222e-285a-4629-a2a0-2ad9e65f78a2,3eea9883-b781-464b-8923-f0a015bb02c1,2025-04-07 00:00:00+00,15,2025,8,2025-08-28 15:15:06.140053+00
07a50fda-5a74-4481-9331-8e9acbc20589,d6603b43-2fe2-4ce6-9117-60b50364f995,929c2a1c-5395-4d65-8457-62ddc08ae3e7,2024-06-24 00:00:00+00,26,2025,8,2025-08-28 15:06:57.367351+00
07f27b84-c290-44f1-90bb-5635b7329e75,46bdfdf9-b7e1-4b19-94e3-ffab53b8db4b,d22c96f8-d4c3-42d3-9368-925fec3016c9,2025-06-09 00:00:00+00,24,2025,8,2025-08-28 15:15:06.140053+00
08110cb8-722f-415e-bd07-4eb23e2f9ed0,46bdfdf9-b7e1-4b19-94e3-ffab53b8db4b,20a53315-0f65-445e-a2ec-c975192489ab,2025-04-21 00:00:00+00,17,2025,8,2025-08-28 15:15:06.140053+00
084f1a55-ee8b-46d1-8023-6bec0555f615,d22c96f8-d4c3-42d3-9368-925fec3016c9,03a2e16d-3f83-40f2-ac7a-448cac0e34f9,2024-01-15 00:00:00+00,3,2025,8,2025-08-28 15:06:57.367351+00
089556da-8da9-4661-8f58-13943ee26126,03a2e16d-3f83-40f2-ac7a-448cac0e34f9,20a53315-0f65-445e-a2ec-c975192489ab,2025-03-24 00:00:00+00,13,2025,8,2025-08-28 15:15:06.140053+00
08b44b13-4863-4fc2-88d8-a2299fc8495e,d22c96f8-d4c3-42d3-9368-925fec3016c9,1cb30beb-bd3e-4ab5-8842-83aec3e64fc4,2024-04-15 00:00:00+00,16,2025,8,2025-08-28 15:06:57.367351+00
08e20499-c589-4486-b428-263d9727b5aa,929c2a1c-5395-4d65-8457-62ddc08ae3e7,b2023247-4516-4641-9d9d-641dcc9ca452,2024-07-22 00:00:00+00,30,2025,8,2025-08-28 15:06:57.367351+00
091be7a7-7934-4ede-a8f5-11af4378e29c,d6603b43-2fe2-4ce6-9117-60b50364f995,d22c96f8-d4c3-42d3-9368-925fec3016c9,2025-04-21 00:00:00+00,17,2025,8,2025-08-28 15:15:06.140053+00
0a000421-e5fa-4293-a9cc-362a1dd226e9,1cb30beb-bd3e-4ab5-8842-83aec3e64fc4,20a53315-0f65-445e-a2ec-c975192489ab,2024-02-26 00:00:00+00,9,2025,8,2025-08-28 15:06:57.367351+00
0a1f6902-915a-48a8-bb55-1a640e9f71a4,d22c96f8-d4c3-42d3-9368-925fec3016c9,aa672f22-7c0c-416a-8b6f-39bc778ebcea,2024-09-09 00:00:00+00,37,2025,8,2025-08-28 15:06:57.367351+00
0a243039-37a9-4ffb-963c-779f9b0f2383,b2023247-4516-4641-9d9d-641dcc9ca452,c3fc4be4-64e9-4a87-a828-1721cd5aa008,2024-12-02 00:00:00+00,49,2025,8,2025-08-28 15:06:57.367351+00
